Algorithm,Problem,IndicatorName,ExecutionId,IndicatorValue
NSGAII,WFG7_5,HV,3,0.34944413479980696
NSGAII,WFG7_5,HV,4,0.27333902625309325
NSGAII,WFG8_5,HV,0,0.3388840624352847
NSGAII,WFG8_5,HV,1,0.35929597994621065
NSGAII,WFG8_5,HV,2,0.3315476590200649
NSGAII,WFG8_5,HV,3,0.34414052951804747
NSGAII,WFG8_5,HV,4,0.3160943996584281
NSGAII,WFG9_5,HV,0,0.3751245069729371
NSGAII,WFG9_5,HV,1,0.3888105534885886
NSGAII,WFG9_5,HV,2,0.38745792483823216
NSGAII,WFG9_5,HV,3,0.382682834367809
NSGAII,WFG9_5,HV,4,0.4029951378053803
SPEA2,WFG1_2,HV,0,0.43225166111305613
SPEA2,WFG1_2,HV,1,0.5834871523930696
SPEA2,WFG1_2,HV,2,0.5736354675587195
SPEA2,WFG1_2,HV,3,0.48397566240061674
SPEA2,WFG1_2,HV,4,0.5252448711496933
SPEA2,WFG2_2,HV,0,0.5613975570042277
SPEA2,WFG2_2,HV,1,0.5626408426022403
SPEA2,WFG2_2,HV,2,0.5610805686119682
SPEA2,WFG2_2,HV,3,0.5618680334673216
SPEA2,WFG2_2,HV,4,0.5618619157246258
SPEA2,WFG3_2,HV,0,0.44033362111182184
SPEA2,WFG3_2,HV,1,0.4401922657749591
SPEA2,WFG3_2,HV,2,0.44061465497245955
SPEA2,WFG3_2,HV,3,0.44020707196499
SPEA2,WFG3_2,HV,4,0.43953393701012244
SPEA2,WFG5_2,HV,0,0.19482711853120321
SPEA2,WFG5_2,HV,1,0.1949817647430935
SPEA2,WFG5_2,HV,2,0.19532878834551787
SPEA2,WFG5_2,HV,3,0.194990940715472
SPEA2,WFG5_2,HV,4,0.1951196300818586
SPEA2,WFG4_2,HV,0,0.21690420727219661
SPEA2,WFG4_2,HV,1,0.21671411664033677
SPEA2,WFG4_2,HV,2,0.21646069985615016
SPEA2,WFG4_2,HV,3,0.21604887883800794
SPEA2,WFG4_2,HV,4,0.21608108566059692
SPEA2,WFG6_2,HV,0,0.18123790236251805
SPEA2,WFG6_2,HV,1,0.1860459652609023
SPEA2,WFG6_2,HV,2,0.178158974348643
SPEA2,WFG6_2,HV,3,0.1838718669628472
SPEA2,WFG6_2,HV,4,0.18667228194025642
SPEA2,WFG7_2,HV,0,0.2090712643178326
SPEA2,WFG7_2,HV,1,0.2090957674119347
SPEA2,WFG7_2,HV,2,0.20866402099512127
SPEA2,WFG7_2,HV,3,0.20875408496737224
SPEA2,WFG7_2,HV,4,0.20899166196873614
SPEA2,WFG8_2,HV,0,0.17504400465091347
SPEA2,WFG8_2,HV,1,0.1744542574532249
SPEA2,WFG8_2,HV,2,0.1750004913101819
SPEA2,WFG8_2,HV,3,0.1753792388337294
SPEA2,WFG8_2,HV,4,0.17519847365447688
SPEA2,WFG9_2,HV,0,0.23708576757065747
SPEA2,WFG9_2,HV,1,0.23590100103836617
SPEA2,WFG9_2,HV,2,0.17591383492255064
SPEA2,WFG9_2,HV,3,0.1759871648389126
SPEA2,WFG9_2,HV,4,0.17583106559137804
SPEA2,WFG1_3,HV,0,0.4035012661967572
SPEA2,WFG1_3,HV,1,0.581996677191587
SPEA2,WFG1_3,HV,2,0.4245313666389959
SPEA2,WFG1_3,HV,3,0.3201741192830411
SPEA2,WFG1_3,HV,4,0.30843667163141497
SPEA2,WFG2_3,HV,0,0.894237332049943
SPEA2,WFG2_3,HV,1,0.7750207892887593
SPEA2,WFG2_3,HV,2,0.7782589015747658
SPEA2,WFG2_3,HV,3,0.8935608480666951
SPEA2,WFG2_3,HV,4,0.7780989224051436
SPEA2,WFG3_3,HV,0,0.25282784505175737
SPEA2,WFG3_3,HV,1,0.2679218065319561
SPEA2,WFG3_3,HV,2,0.2742799630524578
SPEA2,WFG3_3,HV,3,0.25264745527821153
SPEA2,WFG3_3,HV,4,0.264412161788797
SPEA2,WFG5_3,HV,0,0.363345066138368
SPEA2,WFG5_3,HV,1,0.34572304648746305
SPEA2,WFG5_3,HV,2,0.35283379860260117
SPEA2,WFG5_3,HV,3,0.3512193644877734
SPEA2,WFG5_3,HV,4,0.35474082667613094
SPEA2,WFG4_3,HV,0,0.36210908963177724
SPEA2,WFG4_3,HV,1,0.36001969632284286
SPEA2,WFG4_3,HV,2,0.3529076865102874
SPEA2,WFG4_3,HV,3,0.3575936715269039
SPEA2,WFG4_3,HV,4,0.3576317846434544
SPEA2,WFG6_3,HV,0,0.3579381967902863
SPEA2,WFG6_3,HV,1,0.34874941355489103
SPEA2,WFG6_3,HV,2,0.3385773609403092
SPEA2,WFG6_3,HV,3,0.3384419372964876
SPEA2,WFG6_3,HV,4,0.3462635003128037
SPEA2,WFG7_3,HV,0,0.37930328851765915
SPEA2,WFG7_3,HV,1,0.37726866195193576
SPEA2,WFG7_3,HV,2,0.368319492674482
SPEA2,WFG7_3,HV,3,0.3784891722789596
SPEA2,WFG7_3,HV,4,0.3781607745165814
SPEA2,WFG8_3,HV,0,0.29484769376484593
SPEA2,WFG8_3,HV,1,0.29782128508137345
SPEA2,WFG8_3,HV,2,0.2911310015482031
SPEA2,WFG8_3,HV,3,0.2902124435590405
SPEA2,WFG8_3,HV,4,0.29487951570393517
SPEA2,WFG9_3,HV,0,0.3164436143295003
SPEA2,WFG9_3,HV,1,0.3526193844532715
SPEA2,WFG9_3,HV,2,0.33089476884918073
SPEA2,WFG9_3,HV,3,0.3157763974481988
SPEA2,WFG9_3,HV,4,0.3141363302304329
SPEA2,WFG1_5,HV,0,0.024234980357542686
SPEA2,WFG1_5,HV,1,0.01421295174836131
SPEA2,WFG1_5,HV,2,0.0
SPEA2,WFG1_5,HV,3,0.015732529130364065
SPEA2,WFG1_5,HV,4,0.01606749801394801
SPEA2,WFG2_5,HV,0,0.8177422715831412
SPEA2,WFG2_5,HV,1,0.8177518936211111
SPEA2,WFG2_5,HV,2,0.8259857054020827
SPEA2,WFG2_5,HV,3,0.850526069197205
SPEA2,WFG2_5,HV,4,0.7448956759146053
SPEA2,WFG3_5,HV,0,0.0
SPEA2,WFG3_5,HV,1,0.0
SPEA2,WFG3_5,HV,2,0.0
SPEA2,WFG3_5,HV,3,0.0
SPEA2,WFG3_5,HV,4,0.0
SPEA2,WFG5_5,HV,0,0.44505181112220005
SPEA2,WFG5_5,HV,1,0.43728451562265575
SPEA2,WFG5_5,HV,2,0.42389060924329086
SPEA2,WFG5_5,HV,3,0.43150985248019286
SPEA2,WFG5_5,HV,4,0.39208163404956187
SPEA2,WFG4_5,HV,0,0.32627296033430775
SPEA2,WFG4_5,HV,1,0.3305932837395539
SPEA2,WFG4_5,HV,2,0.33612481028023444
SPEA2,WFG4_5,HV,3,0.3484937450948296
SPEA2,WFG4_5,HV,4,0.3215256694697025
SPEA2,WFG6_5,HV,0,0.4065575407988793
SPEA2,WFG6_5,HV,1,0.37738082005479223
SPEA2,WFG6_5,HV,2,0.4144411248972194
SPEA2,WFG6_5,HV,3,0.4248920591234176
SPEA2,WFG6_5,HV,4,0.40777840236018764
